"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R39","RESC2012N","42.4499mm","33.825mm","42.4499mm","33.825mm","43.3499mm","33.825mm","T","180.00","Res2"
"Z1","RESC2012N","18.875mm","27mm","18.875mm","27mm","17.975mm","27mm","T","360.00","Res2"
"U8","SOIC-OA8_N","45.1751mm","22.25mm","45.1751mm","22.25mm","43.2701mm","19.85mm","T","90.00","L6388E"
"C28","CAPC2012N","42.25mm","12.475mm","42.25mm","12.475mm","42.25mm","13.325mm","T","270.00","Cap"
"C29","CAPC2012N","41.425mm","24.25mm","41.425mm","24.25mm","41.425mm","25.1mm","T","270.00","Cap"
"C30","CAPC2012N","46.175mm","17.5mm","46.175mm","17.5mm","47.025mm","17.5mm","T","180.00","Cap"
"P4","ARK2","89.2499mm","20.875mm","89.2499mm","20.875mm","89.2499mm","18.375mm","T","90.00","Header 2"
"P2","ARK2","4.575mm","22.5mm","4.575mm","22.5mm","4.575mm","25mm","T","270.00","Header 2"
"P1","ARK2","4.575mm","32.5mm","4.575mm","32.5mm","4.575mm","35mm","T","270.00","Header 2"
"P3","ARK2","4.575mm","12.5mm","4.575mm","12.5mm","4.575mm","15mm","T","270.00","Header 2"
"P5","ARK2","63.2498mm","14.7501mm","63.2498mm","14.7501mm","60.7498mm","14.7501mm","T","360.00","Header 2"

